2025-12-11 11:13:40.793 [taskExecutor-3] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/wangyi
2025-12-11 11:13:40.793 [taskExecutor-3] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/wangyi 执行结束，耗时 327 ms
2025-12-11 11:13:40.816 [taskExecutor-7] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/cctv/5
2025-12-11 11:13:40.816 [taskExecutor-7] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/cctv/5 执行结束，耗时 691 ms
2025-12-11 11:13:40.817 [taskExecutor-2] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/cctv/1
2025-12-11 11:13:40.817 [taskExecutor-2] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/cctv/1 执行结束，耗时 698 ms
2025-12-11 11:13:40.890 [taskExecutor-4] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/gelonghui
2025-12-11 11:13:40.890 [taskExecutor-14] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/youku/zongbang
2025-12-11 11:13:40.890 [taskExecutor-4] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/gelonghui 执行结束，耗时 766 ms
2025-12-11 11:13:40.890 [taskExecutor-14] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/youku/zongbang 执行结束，耗时 763 ms
2025-12-11 11:13:40.903 [taskExecutor-18] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/zhiboba
2025-12-11 11:13:40.903 [taskExecutor-18] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/zhiboba 执行结束，耗时 775 ms
2025-12-11 11:13:40.974 [taskExecutor-13] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/cctv/8
2025-12-11 11:13:40.974 [taskExecutor-13] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/cctv/8 执行结束，耗时 342 ms
2025-12-11 11:13:40.976 [taskExecutor-1] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/lieyunwang
2025-12-11 11:13:40.977 [taskExecutor-1] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/lieyunwang 执行结束，耗时 510 ms
2025-12-11 11:13:41.013 [taskExecutor-20] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/kechuangbanribao
2025-12-11 11:13:41.013 [taskExecutor-20] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/kechuangbanribao 执行结束，耗时 382 ms
2025-12-11 11:13:41.056 [taskExecutor-8] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/weibo
2025-12-11 11:13:41.056 [taskExecutor-8] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/weibo 执行结束，耗时 310 ms
2025-12-11 11:13:41.109 [taskExecutor-4] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/cctv/child
2025-12-11 11:13:41.109 [taskExecutor-4] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/cctv/child 执行结束，耗时 218 ms
2025-12-11 11:13:41.146 [taskExecutor-5] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/iheima
2025-12-11 11:13:41.146 [taskExecutor-5] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/iheima 执行结束，耗时 501 ms
2025-12-11 11:13:41.154 [taskExecutor-11] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/tuyawangguo/best
2025-12-11 11:13:41.154 [taskExecutor-11] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/tuyawangguo/best 执行结束，耗时 458 ms
2025-12-11 11:13:41.173 [taskExecutor-18] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/hupu
2025-12-11 11:13:41.174 [taskExecutor-18] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/hupu 执行结束，耗时 270 ms
2025-12-11 11:13:41.247 [taskExecutor-9] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/zhongguoxinwenwang
2025-12-11 11:13:41.248 [taskExecutor-9] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/zhongguoxinwenwang 执行结束，耗时 523 ms
2025-12-11 11:13:41.283 [taskExecutor-1] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/maoyan/goupiaopingfenbang
2025-12-11 11:13:41.283 [taskExecutor-1] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/maoyan/goupiaopingfenbang 执行结束，耗时 306 ms
2025-12-11 11:13:41.296 [taskExecutor-6] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/xingdaohuanqiu
2025-12-11 11:13:41.296 [taskExecutor-6] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/xingdaohuanqiu 执行结束，耗时 829 ms
2025-12-11 11:13:41.389 [taskExecutor-4] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/baidu
2025-12-11 11:13:41.390 [taskExecutor-4] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/baidu 执行结束，耗时 281 ms
2025-12-11 11:13:41.392 [taskExecutor-20] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/youshewang
2025-12-11 11:13:41.392 [taskExecutor-20] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/youshewang 执行结束，耗时 379 ms
2025-12-11 11:13:41.404 [taskExecutor-10] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/mbazhiku
2025-12-11 11:13:41.405 [taskExecutor-10] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/mbazhiku 执行结束，耗时 653 ms
2025-12-11 11:13:41.413 [taskExecutor-15] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/zhongguancunzaixian
2025-12-11 11:13:41.413 [taskExecutor-15] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/zhongguancunzaixian 执行结束，耗时 626 ms
2025-12-11 11:13:41.419 [taskExecutor-17] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/emacschina
2025-12-11 11:13:41.419 [taskExecutor-17] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/emacschina 执行结束，耗时 1291 ms
2025-12-11 11:13:41.434 [taskExecutor-7] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/shuimushequ
2025-12-11 11:13:41.434 [taskExecutor-7] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/shuimushequ 执行结束，耗时 617 ms
